hour,OEE,availability,performance,quality,throughput,raw_inventory,wip,finished,energy_price,temp,humidity,voltage,available_workers,fatigue,maintenance,downtime,MTBF,shift
18,0.9837117167660936,1.0,0.9936481987536299,0.99,473,429.6574229693112,1309,7406,51.62,15.5,51.5,0.99,2,1.5,0,0,18.0,2
19,0.9831842850360558,1.0,0.9931154394303594,0.99,372,206.4574229693112,1299,7788,52.35,16.0,53.6,0.97,2,1.5,0,0,19.0,2
20,0.9825967522019294,1.0,0.9925219719211409,0.99,425,0.0,1270,8242,51.36,16.3,53.6,0.98,2,1.5,0,0,20.0,2
21,0.982027238842105,1.0,0.9919467059011161,0.99,386,352.1636187722503,1183,8715,50.95,17.5,55.8,0.98,2,1.5,0,0,21.0,2
22,0.9815765012166127,1.0,0.9914914153703158,0.99,372,128.9636187722503,1183,9087,50.84,20.2,55.1,0.99,2,1.5,0,0,22.0,2
23,0.9811450099096835,1.0,0.9910555655653368,0.99,443,364.8850888899146,1201,9512,50.99,22.0,55.6,0.98,2,1.5,0,0,23.0,2
24,0.9807728753356307,1.0,0.9906796720561927,0.99,418,114.0850888899146,1233,9898,51.18,25.2,55.8,0.99,2,1.0,0,0,24.0,0
25,0.9804216038590946,1.0,0.9903248523829239,0.99,418,363.2129645117865,1279,10270,51.34,27.7,56.2,0.98,2,1.0,0,0,25.0,0
26,0.9801099892255045,1.0,0.9900100901267722,0.99,391,128.6129645117865,1227,10713,51.58,29.8,55.8,0.98,2,1.0,0,0,26.0,0
27,0.979792382108345,1.0,0.9896892748569142,0.99,456,392.9963753280189,1265,11131,50.82,32.3,56.1,0.98,2,1.0,0,0,27.0,0
28,0.9794778735351283,1.0,0.9893715894294225,0.99,477,106.79637532801894,1324,11549,51.36,33.9,57.7,0.99,2,1.0,0,0,28.0,0
29,0.979222184199881,1.0,0.9891133173736172,0.99,426,311.60760181768126,1359,11940,51.86,34.1,56.8,0.98,2,1.0,0,0,29.0,0
30,0.9789576900518029,1.0,0.9888461515674777,0.99,468,30.807601817681245,1371,12396,51.76,35.5,59.3,0.97,2,1.0,0,0,30.0,0
31,0.9787121440710017,1.0,0.9885981253242442,0.99,377,173.79962625046983,1271,12873,50.92,34.3,57.5,0.97,2,1.0,0,0,31.0,0
32,0.9784782332719377,1.0,0.988361851789836,0.99,472,332.1698455156716,1317,13299,51.62,33.5,58.0,0.97,4,1.0,0,0,32.0,1
33,0.9782180676491691,1.0,0.9880990582314839,0.99,418,81.36984551567164,1267,13767,51.38,33.0,59.3,0.96,4,1.0,0,0,33.0,1
34,0.9779496184132455,1.0,0.9878278973871166,0.99,364,458.04724458443854,1254,14144,50.77,30.3,58.9,0.97,4,1.0,0,0,34.0,1
35,0.9776560720887805,1.0,0.9875313859482631,0.99,473,174.24724458443853,1255,14616,50.94,27.9,60.0,0.96,4,1.0,0,0,35.0,1
36,0.9773463191003684,1.0,0.9872185041417862,0.99,425,297.51759190746407,1262,15034,51.05,25.3,57.6,0.97,4,1.0,0,0,36.0,1
37,0.9770175643565295,1.0,0.9868864286429592,0.99,426,41.91759190746407,1324,15398,50.06,22.2,57.7,0.98,4,1.0,0,0,37.0,1
38,0.9766615618964775,1.0,0.9865268301984621,0.99,495,67.5366841883556,1346,15871,49.41,19.9,60.8,0.99,4,1.0,0,0,38.0,1
39,0.9761825548005252,1.0,0.9860429846469951,0.99,463,198.20020106174684,1384,16296,49.79,17.9,58.8,0.99,4,1.0,0,0,39.0,1
40,0.9757038497375062,1.0,0.9855594441792992,0.99,473,238.13984525986342,1431,16722,50.12,16.4,59.8,1.0,2,1.5,0,0,40.0,2
41,0.9752188249744187,1.0,0.9850695201761805,0.99,416,0.0,1352,17217,49.82,16.0,59.5,1.01,2,1.5,0,0,41.0,2
42,0.9746602200651442,1.0,0.984505272793075,0.99,504,276.6531435333169,1393,17680,49.46,14.9,59.5,1.0,2,1.5,0,0,42.0,2
43,0.974116947973794,1.0,0.9839565131048424,0.99,438,13.853143533316882,1358,18153,50.1,15.7,60.5,1.0,2,1.5,0,0,43.0,2
44,0.9735815047745257,1.0,0.9834156613884097,0.99,466,172.480168455681,1408,18569,50.06,16.1,60.2,1.0,2,1.5,0,0,44.0,2
45,0.973053033480502,1.0,0.982881852000507,0.99,412,341.2279986839929,1316,19073,49.24,18.4,60.6,1.01,2,1.5,0,0,45.0,2
46,0.9725735823814405,1.0,0.9823975579610511,0.99,475,56.227998683992894,1353,19511,48.7,19.6,61.5,1.02,2,1.5,0,0,46.0,2
47,0.9721015044457183,1.0,0.9819207115613316,0.99,409,206.80150483039534,1296,19977,48.36,22.4,59.1,1.01,2,1.5,0,0,47.0,2
48,0.9716892328918588,1.0,0.9815042756483423,0.99,459,0.0,1343,20389,48.48,25.1,61.3,1.01,2,1.0,0,0,48.0,0
49,0.9713439118119912,1.0,0.9811554664767588,0.99,385,118.9946507384231,1253,20864,48.85,28.3,59.3,1.02,2,1.0,0,0,49.0,0
50,0.9710171292465234,1.0,0.9808253830772964,0.99,377,383.309228800689,1221,21273,49.38,30.1,60.9,1.01,2,1.0,0,0,50.0,0
51,0.9707038881590353,1.0,0.9805089779384195,0.99,402,142.10922880068904,1164,21732,49.3,31.5,59.8,1.03,2,1.0,0,0,51.0,0
52,0.9703916153123752,1.0,0.980193550820581,0.99,386,242.70034190707273,1165,22117,49.86,33.8,59.7,1.02,2,1.0,0,0,52.0,0
53,0.9701549793319472,1.0,0.9799545245777244,0.99,519,0.0,1307,22494,49.65,35.1,58.1,1.04,2,1.0,0,0,53.0,0
54,0.9698835915100175,1.0,0.9796803954646641,0.99,407,279.80367528559947,1312,22896,49.17,34.9,58.8,1.05,2,1.0,0,0,54.0,0
55,0.9696237356474053,1.0,0.9794179147953589,0.99,510,0.0,1436,23282,48.91,35.3,57.0,1.04,2,1.0,0,0,55.0,0
56,0.9693655822290279,1.0,0.9791571537666949,0.99,467,186.04642661142594,1384,23801,48.97,34.1,58.6,1.05,4,1.0,0,0,56.0,1
57,0.9690939885576695,1.0,0.9788828167249187,0.99,472,359.83708971718835,1449,24208,48.75,32.2,56.8,1.04,4,1.0,0,0,57.0,1
58,0.9688050237408742,1.0,0.9785909330715901,0.99,450,89.83708971718835,1389,24718,49.03,29.9,56.9,1.05,4,1.0,0,0,58.0,1
59,0.9685138191116528,1.0,0.9782967869814675,0.99,468,366.5797815492869,1390,25185,49.2,27.6,57.4,1.05,4,1.0,0,0,59.0,1
60,0.9681883392264347,1.0,0.977968019420641,0.99,408,121.77978154928692,1326,25657,49.05,24.7,54.6,1.04,4,1.0,0,0,60.0,1
61,0.9678028012280306,1.0,0.9775785870990209,0.99,467,256.7195137710042,1343,26107,48.83,22.0,55.7,1.02,4,1.0,0,0,61.0,1
62,0.9674106912255971,1.0,0.977182516389492,0.99,386,25.119513771004193,1261,26575,48.85,19.8,52.9,1.01,4,1.0,0,0,62.0,1
63,0.9669421762229922,1.0,0.9767092689121133,0.99,391,322.606168542486,1244,26983,48.02,18.0,55.1,1.02,4,1.0,0,0,63.0,1
64,0.9664700971325602,1.0,0.9762324213460204,0.99,393,86.806168542486,1170,27450,47.87,15.8,53.3,1.02,2,1.5,0,0,64.0,2
65,0.9659443989250555,1.0,0.9757014130556115,0.99,382,254.74635372954452,1166,27836,47.28,15.7,52.3,1.02,2,1.5,0,0,65.0,2
66,0.9653922094033031,1.0,0.9751436458619223,0.99,452,0.0,1227,28227,47.88,15.2,51.9,1.0,2,1.5,0,0,66.0,2
67,0.9648393565089004,1.0,0.9745852085948489,0.99,432,209.13764922947558,1266,28620,48.11,15.2,53.2,0.98,2,1.5,0,0,67.0,2
68,0.9642510185273715,1.0,0.9739909278054257,0.99,478,0.0,1362,29002,47.2,16.9,50.7,0.99,2,1.5,0,0,68.0,2
69,0.963700512062135,1.0,0.9734348606688232,0.99,435,302.29687328323644,1345,29454,47.99,18.1,49.9,0.99,2,1.5,0,0,69.0,2
70,0.963261814591128,1.0,0.9729917319102304,0.99,455,29.296873283236437,1368,29886,47.11,20.2,46.8,0.97,2,1.5,0,0,70.0,2
71,0.598738094007706,0.8,0.7779860888873517,0.9620000000000001,229,340.0870770531966,1119,30364,47.46,22.0,49.7,0.98,2,1.5,0,1,71.0,2
72,0.5984691845795566,0.8,0.7776366743497356,0.9620000000000001,291,165.4870770531966,975,30799,48.33,25.3,46.1,0.98,2,1.0,0,1,71.8,0
73,0.5982463520926493,0.8,0.7773471310975172,0.9620000000000001,296,441.2559654407265,816,31254,48.17,27.0,47.1,0.98,2,1.0,0,1,72.6,0
74,0.9619116668814235,1.0,0.9716279463448723,0.99,480,417.31622894429506,1067,31483,48.55,30.3,46.9,0.98,2,1.0,0,0,73.4,0
75,0.9616126128594765,1.0,0.9713258715752289,0.99,367,197.11622894429507,1143,31774,48.44,32.9,46.3,0.99,2,1.0,0,0,74.4,0
76,0.9671340717291705,1.0,0.976903102756738,0.99,482,304.8364377045903,1329,32070,48.62,32.9,45.6,1.0,2,1.0,0,0,75.4,0
77,0.9668546959624765,1.0,0.9766209050126026,0.99,469,23.436437704590332,1318,32550,48.99,33.9,46.8,1.02,2,1.0,0,0,76.4,0
78,0.9665830322298584,1.0,0.9763464972018772,0.99,502,258.4495390788264,1453,32917,49.95,35.8,44.1,1.01,2,1.0,0,0,77.4,0
79,0.9663189765423538,1.0,0.9760797742852059,0.99,499,0.0,1470,33399,49.07,34.7,45.7,1.01,2,1.0,0,0,78.4,0
80,0.9660485870784422,1.0,0.9758066536145881,0.99,430,227.94097075973764,1431,33868,50.0,34.1,44.9,1.0,4,1.0,0,0,79.4,1
81,0.9657743615963571,1.0,0.9755296581781385,0.99,376,2.340970759737644,1305,34370,49.78,31.5,42.0,1.0,4,1.0,0,0,80.4,1
82,0.965495058140959,1.0,0.9752475334757162,0.99,433,339.7659408925047,1239,34869,49.7,29.7,42.6,0.99,4,1.0,0,0,81.4,1
83,0.965205973046455,1.0,0.9749555283297525,0.99,460,63.765940892504716,1269,35299,50.59,27.6,40.3,0.99,4,1.0,0,0,82.4,1
84,0.9649010422676678,1.0,0.9746475174420887,0.99,379,299.4651581231125,1272,35675,50.59,25.7,39.3,0.99,4,1.0,0,0,83.4,1
85,0.9645634999351352,1.0,0.9743065655910457,0.99,371,76.86515812311248,1210,36108,50.36,22.0,39.1,0.98,4,1.0,0,0,84.4,1
86,0.9641332080895169,1.0,0.9738719273631483,0.99,463,244.3227985568871,1213,36568,50.82,19.8,38.0,0.97,4,1.0,0,0,85.4,1
87,0.9637274664011934,1.0,0.9734620872739328,0.99,434,0.0,1268,36947,50.46,17.3,38.7,0.97,4,1.0,0,0,86.4,1
88,0.9632447971526523,1.0,0.9729745425784367,0.99,384,297.41824225130324,1281,37318,49.49,16.5,37.8,0.97,2,1.5,0,0,87.4,2
89,0.9626563434900453,1.0,0.9723801449394397,0.99,451,26.818242251303275,1269,37781,48.86,15.7,34.3,0.98,2,1.5,0,0,88.4,2
90,0.9620765031580408,1.0,0.9717944476343847,0.99,442,275.9319807219429,1277,38215,48.44,15.5,35.4,0.97,2,1.5,0,0,89.4,2
91,0.961395722625551,1.0,0.9711067905308596,0.99,420,23.93198072194292,1313,38599,48.73,14.8,35.2,0.97,2,1.5,0,0,90.4,2
92,0.9607512545596829,1.0,0.9704558126865483,0.99,452,257.0799729360422,1314,39050,49.57,16.0,34.9,0.97,2,1.5,0,0,91.4,2
93,0.9601990063805184,1.0,0.9698979862429479,0.99,360,41.079972936042225,1232,39492,50.16,18.0,33.5,0.98,2,1.5,0,0,92.4,2
94,0.9597077389342171,1.0,0.9694017564992092,0.99,389,376.59453147110696,1201,39912,49.94,20.0,33.0,0.98,2,1.5,0,0,93.4,2
95,0.9592733836248724,1.0,0.9689630137624974,0.99,401,135.99453147110697,1150,40364,50.0,22.5,31.6,0.94,2,1.5,0,0,94.4,2
96,0.9589031731527348,1.0,0.9685890637906411,0.99,453,217.1904587952045,1243,40724,50.06,25.1,31.0,0.96,2,1.0,0,0,95.4,0
97,0.596807076582476,0.8,0.7754769706113253,0.9620000000000001,265,58.190458795204506,1119,41113,50.55,27.7,28.9,0.96,2,1.0,0,1,96.4,0
98,0.596597972785587,0.8,0.775205266093538,0.9620000000000001,246,244.0428511887949,964,41514,50.78,30.0,30.8,0.97,2,1.0,0,1,97.2,0
99,0.9580405425197273,1.0,0.9677177197168962,0.99,389,10.642851188794936,900,41967,51.32,32.0,28.6,0.97,2,1.0,0,0,98.0,0
100,0.9577326111521379,1.0,0.9674066779314524,0.99,414,135.46443761079445,1049,42232,51.15,32.7,28.7,0.95,2,1.0,0,0,99.0,0
101,0.9574534670170631,1.0,0.9671247141586496,0.99,383,374.23112001467484,1186,42478,50.95,35.0,28.1,0.96,2,1.0,0,0,100.0,0
102,0.9572030359071017,1.0,0.9668717534415169,0.99,437,112.03112001467485,1234,42867,51.46,36.0,27.1,0.96,2,1.0,0,0,101.0,0
103,0.9569460178516278,1.0,0.9666121392440685,0.99,423,205.76565835404503,1243,43281,52.14,34.7,27.1,0.97,2,1.0,0,0,102.0,0
104,0.9566972074966932,1.0,0.9663608156532254,0.99,387,0.0,1247,43664,51.96,33.5,25.9,0.98,4,1.0,0,0,103.0,1
105,0.9564164113055762,1.0,0.9660771831369457,0.99,457,27.363491735920604,1267,44101,52.07,32.3,23.9,0.98,4,1.0,0,0,104.0,1
106,0.9561143756270378,1.0,0.9657720965929675,0.99,447,286.5781501057575,1291,44524,51.19,30.5,24.7,0.98,4,1.0,0,0,105.0,1
107,0.9558202105900219,1.0,0.9654749601919412,0.99,399,47.17815010575754,1303,44911,51.62,27.0,25.2,0.98,4,1.0,0,0,106.0,1
108,0.9555052464911588,1.0,0.9651568146375341,0.99,483,298.5816117626013,1329,45368,51.78,24.6,24.0,0.98,4,1.0,0,0,107.0,1
109,0.95518663200482,1.0,0.9648349818230505,0.99,397,60.381611762601324,1279,45815,51.4,23.1,24.8,0.99,4,1.0,0,0,108.0,1
110,0.9548103983017819,1.0,0.9644549477795777,0.99,412,181.8151352004582,1292,46214,50.86,19.9,25.2,1.0,4,1.0,0,0,109.0,1
111,0.95435211804777,1.0,0.9639920384320909,0.99,443,488.9725569739207,1252,46697,50.88,17.8,23.4,0.99,4,1.0,0,0,110.0,1
112,0.9538385323862131,1.0,0.9634732650365789,0.99,473,205.17255697392068,1328,47094,50.96,16.4,22.6,0.99,2,1.5,0,0,111.0,2
113,0.9532543338275073,1.0,0.9628831654823307,0.99,394,0.0,1310,47506,51.24,15.8,21.7,0.99,2,1.5,0,0,112.0,2
114,0.9526998272506422,1.0,0.9623230578289315,0.99,377,222.3040847175128,1244,47949,51.62,14.5,23.4,0.99,2,1.5,0,0,113.0,2
115,0.9521069131254684,1.0,0.9617241546721903,0.99,435,0.0,1206,48422,52.59,14.3,21.7,0.97,2,1.5,0,0,114.0,2
116,0.9514886400313499,1.0,0.9610996363953029,0.99,431,269.3605547993191,1243,48816,52.65,15.7,20.5,0.96,2,1.5,0,0,115.0,2
117,0.9509218016707052,1.0,0.9605270723946517,0.99,453,0.0,1319,49193,52.26,17.4,19.9,0.98,2,1.5,0,0,116.0,2
118,0.9503756516191803,1.0,0.9599754056759396,0.99,359,217.11648465194108,1243,49628,51.3,19.8,22.7,0.98,2,1.5,0,0,117.0,2
119,0.9585853907037755,1.0,0.968268071417955,0.99,444,0.0,1256,50059,52.02,22.2,18.4,0.98,2,1.5,0,0,118.0,2
120,0.9581557186047072,1.0,0.9678340591966739,0.99,438,244.24349319818685,1241,50512,51.05,25.2,20.5,0.98,2,1.0,0,0,119.0,0
121,0.957822284523969,1.0,0.9674972570949182,0.99,427,0.0,1309,50871,51.68,27.3,20.7,0.97,2,1.0,0,0,120.0,0
122,0.9575103461752194,1.0,0.9671821678537569,0.99,479,85.94716103508961,1344,51315,50.76,31.0,19.4,0.98,2,1.0,0,0,121.0,0
123,0.9572079084195951,1.0,0.9668766751713083,0.99,360,187.53128798317982,1266,51753,50.64,32.4,19.6,0.98,2,1.0,0,0,122.0,0
124,0.960805749218879,1.0,0.9705108577968474,0.99,455,413.0751970298769,1294,52180,49.66,33.9,18.5,0.99,2,1.0,0,0,123.0,0
125,0.960550805450482,1.0,0.9702533388388707,0.99,419,161.67519702987693,1234,52659,49.88,35.1,19.6,0.99,2,1.0,0,0,124.0,0
126,0.9602702320779323,1.0,0.9699699313918508,0.99,415,231.10130882962284,1289,53019,49.7,34.7,18.2,1.0,2,1.0,0,0,125.0,0
127,0.960002516975826,1.0,0.969699512096794,0.99,446,0.0,1280,53474,48.85,35.1,21.3,1.01,2,1.0,0,0,126.0,0
128,0.9597594348876284,1.0,0.9694539746339681,0.99,380,118.51412887772057,1241,53893,48.71,33.6,19.8,1.0,4,1.0,0,0,127.0,1
129,0.9594785107894012,1.0,0.9691702129185871,0.99,497,162.4124380863566,1323,54308,48.84,32.4,20.4,1.02,4,1.0,0,0,128.0,1
130,0.9591934913467065,1.0,0.9688823144916228,0.99,499,305.53233912210123,1376,54754,48.54,29.5,22.0,1.02,4,1.0,0,0,129.0,1
131,0.9589051097934238,1.0,0.9685910199933574,0.99,471,22.93233912210127,1467,55134,48.93,28.8,21.6,1.03,4,1.0,0,0,130.0,1
132,0.9586061098946351,1.0,0.9682889998935709,0.99,494,306.20296403478426,1464,55631,48.01,24.8,19.7,1.01,4,1.0,0,0,131.0,1
133,0.958265177963121,1.0,0.9679446242051728,0.99,388,324.97014230655054,1353,56130,48.08,22.2,21.5,1.02,4,1.0,0,0,132.0,1
134,0.9578558260497027,1.0,0.967531137423942,0.99,450,54.97014230655054,1332,56601,47.12,19.5,21.3,1.02,4,1.0,0,0,133.0,1
135,0.9573504466009352,1.0,0.9670206531322577,0.99,481,189.29779493627439,1319,57095,48.02,18.3,19.6,1.02,4,1.0,0,0,134.0,1
136,0.956906360893555,1.0,0.9665720817106616,0.99,466,366.68647490964264,1397,57483,47.17,16.4,21.7,1.01,2,1.5,0,0,135.0,2
137,0.5975863248351314,0.8,0.7764895073221563,0.962,264,208.28647490964264,1211,57933,47.07,15.4,22.1,1.03,2,1.5,0,1,136.0,2
138,0.590299464674224,0.8,0.7670211339322037,0.9620000000000001,293,32.48647490964265,1023,58414,47.76,14.8,21.2,1.02,2,1.5,0,1,136.8,2
139,0.589892625218322,0.8,0.7664924963855535,0.9620000000000001,255,243.2558809413175,812,58880,47.73,15.5,21.9,1.0,2,1.5,0,1,137.6,2
140,0.5895272456973429,0.8,0.7660177308957158,0.9620000000000001,229,105.85588094131751,777,59144,47.1,17.1,22.5,1.01,2,1.5,0,1,138.4,2
141,0.589174898024519,0.8,0.7655598986805079,0.9620000000000001,259,421.09865736126926,743,59437,46.27,17.3,23.4,1.01,2,1.5,0,1,139.2,2
142,0.5888697779937102,0.8,0.76516343294401,0.9620000000000001,283,251.29865736126928,771,59692,45.53,20.9,24.4,0.99,2,1.5,0,1,140.0,2
143,0.5886122531664205,0.8,0.7648288112869289,0.9620000000000001,246,103.69865736126928,788,59921,44.9,22.4,23.7,0.99,2,1.5,0,1,140.8,2
144,0.5883929595610178,0.8,0.7645438663734637,0.9620000000000001,242,267.73860370705256,771,60180,45.73,24.3,25.9,0.99,2,1.0,0,1,141.6,0
145,0.5881479642282252,0.8,0.7642255252445753,0.9620000000000001,241,123.13860370705257,729,60463,44.78,28.1,25.5,0.99,2,1.0,0,1,142.4,0
146,0.5879477017640157,0.8,0.7639653089449268,0.9620000000000001,298,262.18322309094833,781,60709,44.71,30.3,24.0,0.99,2,1.0,0,1,143.2,0
147,0.5877724825652288,0.8,0.7637376332708274,0.9620000000000001,260,106.18322309094833,799,60951,45.48,32.5,26.2,0.99,2,1.0,0,1,144.0,0
148,0.5876031785281314,0.8,0.7635176436176342,0.9620000000000001,230,522.2016225589173,788,61192,45.45,33.4,28.4,1.0,2,1.0,0,1,144.8,0
149,0.8145952617872164,1.0,0.8467726214004327,0.9620000000000001,337,320.0016225589173,827,61490,45.81,34.8,27.5,1.0,2,1.0,0,0,145.8,0
150,0.8143657323808573,1.0,0.8465340253439264,0.9620000000000001,414,71.60162255891731,981,61750,46.65,35.6,26.4,1.0,2,1.0,0,0,146.8,0
151,0.8141281646679153,1.0,0.8462870734593713,0.9620000000000001,329,258.34335479790593,1080,61980,45.96,35.0,28.7,1.01,2,1.0,0,0,147.8,0
152,0.8139015619236915,1.0,0.8460515196711968,0.9620000000000001,410,12.343354797905931,1153,62317,45.83,33.5,29.1,1.0,4,1.0,0,0,148.8,1
153,0.8136450743183317,1.0,0.8457849005388063,0.9620000000000001,383,164.27768352679882,1122,62731,45.51,31.7,29.2,1.01,4,1.0,0,0,149.8,1
154,0.813373433803543,1.0,0.8455025299413128,0.9620000000000001,336,553.0371306530095,1129,63060,45.49,30.4,30.7,1.02,4,1.0,0,0,150.8,1
155,0.8130654708619073,1.0,0.8451824021433547,0.9620000000000001,393,317.23713065300956,1112,63470,45.46,26.9,27.7,1.01,4,1.0,0,0,151.8,1
156,0.8127267470415916,1.0,0.8448302983800329,0.9620000000000001,319,125.83713065300955,1048,63853,44.51,24.9,33.3,1.01,4,1.0,0,0,152.8,1
157,0.812402320601996,1.0,0.8444930567588316,0.9620000000000001,387,421.2074121292657,1099,64189,44.79,22.4,34.2,1.01,4,1.0,0,0,153.8,1
158,0.8120185556773777,1.0,0.8440941327207667,0.9620000000000001,326,225.60741212926573,1032,64582,45.52,20.7,33.6,1.01,4,1.0,0,0,154.8,1
159,0.8116227004210838,1.0,0.8436826407703573,0.9620000000000001,383,0.0,1096,64901,45.24,17.8,34.2,1.01,4,1.0,0,0,155.8,1
160,0.8962165991245911,1.0,0.9182547122178187,0.976,424,260.29292401983105,1133,65288,44.26,16.1,32.9,0.99,3,1.5,0,0,156.8,2
161,0.8957095552814669,1.0,0.9177352000834702,0.976,460,0.0,1267,65614,43.51,15.5,34.2,1.03,2,1.5,0,0,157.8,2
162,0.8951192746809092,1.0,0.9171304043861775,0.976,383,164.78832213272287,1267,65997,44.3,13.9,34.5,1.02,2,1.5,0,0,158.8,2
163,0.8944520578535006,1.0,0.9164467805876031,0.976,409,232.8089869089739,1252,66421,43.53,15.5,37.6,1.02,2,1.5,0,0,159.8,2
164,0.89392370386891,1.0,0.915905434291916,0.976,419,0.0,1211,66881,44.23,16.7,36.4,1.04,2,1.5,0,0,160.8,2
165,0.8933825782306354,1.0,0.915351002285487,0.976,394,320.3995692795121,1222,67264,43.35,18.2,37.0,1.03,2,1.5,0,0,161.8,2
166,0.8929189238892684,1.0,0.914875946607857,0.976,421,67.7995692795121,1234,67673,43.21,19.3,38.3,1.02,2,1.5,0,0,162.8,2
167,0.8924594732485717,1.0,0.9144051980005857,0.976,437,248.27121739598778,1252,68092,43.66,22.1,40.2,1.02,2,1.5,0,0,163.8,2
168,0.8920779520077547,1.0,0.9140142950899127,0.976,463,0.0,1321,68486,43.0,25.0,39.2,1.02,2,1.0,0,0,164.8,0
169,0.8917047825429703,1.0,0.9136319493268138,0.976,414,295.7676599741062,1314,68907,42.19,27.4,40.6,1.01,2,1.0,0,0,165.8,0
170,0.5437425892967556,0.8,0.7169601652119667,0.9480000000000001,256,142.16765997410621,1133,69344,42.35,29.7,40.7,1.0,2,1.0,0,1,166.8,0
171,0.5435572724846154,0.8,0.716715812875284,0.9480000000000001,215,458.16191222484747,885,69807,43.2,31.8,40.7,1.0,2,1.0,0,1,167.6,0
172,0.5433729126081781,0.8,0.71647272232091,0.9480000000000001,273,294.3619122248475,744,70221,42.71,33.5,42.9,1.01,2,1.0,0,1,168.4,0
173,0.890694286111977,1.0,0.9125966046229272,0.976,426,38.76191222484752,914,70477,43.02,34.0,43.9,1.01,2,1.0,0,0,169.2,0
174,0.8904230191517446,1.0,0.9123186671636727,0.976,416,133.40944714139235,1115,70692,43.79,34.5,44.2,1.04,2,1.0,0,0,170.2,0
175,0.8901420026776029,1.0,0.9120307404483636,0.976,430,216.3775503231633,1272,70965,43.93,35.6,45.0,1.03,2,1.0,0,0,171.2,0
176,0.8898837077537234,1.0,0.9117660940099626,0.976,386,0.0,1232,71391,43.99,33.1,45.6,1.04,4,1.0,0,0,172.2,1
177,0.8896148644259644,1.0,0.9114906397807012,0.976,361,193.27796634156434,1177,71807,44.68,32.4,47.4,1.02,4,1.0,0,0,173.2,1
178,0.8893405074911647,1.0,0.9112095363638982,0.976,465,259.46733923030683,1212,72237,44.11,30.0,47.6,1.03,4,1.0,0,0,174.2,1
179,0.8890699606815315,1.0,0.9109323367638643,0.976,382,30.267339230306845,1208,72623,43.55,26.8,46.6,1.05,4,1.0,0,0,175.2,1
180,0.888749206326622,1.0,0.9106036950067848,0.976,466,294.8619412976861,1313,72984,44.32,25.0,50.0,1.06,4,1.0,0,0,176.2,1
181,0.8884190073545579,1.0,0.9102653763878668,0.976,416,45.26194129768609,1264,73449,44.19,22.9,49.0,1.07,4,1.0,0,0,177.2,1
