hour,timestamp,event_type,description,duration
4032,2023-06-18 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,4
4176,2023-06-24 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,8
4320,2023-06-30 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,4
4464,2023-07-06 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,11
4608,2023-07-12 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,9
4706,2023-07-16 02:00:00,power_outage,Power outage for 2 hours,2
4752,2023-07-18 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,4
4896,2023-07-24 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,9
5040,2023-07-30 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,10
5184,2023-08-05 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,4
5328,2023-08-11 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,10
5472,2023-08-17 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,7
5616,2023-08-23 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,4
5760,2023-08-29 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,11
5904,2023-09-04 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,7
6048,2023-09-10 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,9
6192,2023-09-16 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,4
6336,2023-09-22 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,5
6480,2023-09-28 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,8
6624,2023-10-04 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,7
6768,2023-10-10 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,8
6912,2023-10-16 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,9
7056,2023-10-22 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,8
7200,2023-10-28 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,7
7344,2023-11-03 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,7
7434,2023-11-06 18:00:00,power_outage,Power outage for 1 hours,1
7488,2023-11-09 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,11
7632,2023-11-15 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,10
7776,2023-11-21 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,6
7920,2023-11-27 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,10
8064,2023-12-03 00:00:00,scheduled_maintenance,Machine 1 scheduled maintenance,9
8208,2023-12-09 00:00:00,scheduled_maintenance,Machine 2 scheduled maintenance,10
8288,2023-12-12 08:00:00,power_outage,Power outage for 3 hours,3
8352,2023-12-15 00:00:00,scheduled_maintenance,Machine 3 scheduled maintenance,4
8496,2023-12-21 00:00:00,scheduled_maintenance,Machine 4 scheduled maintenance,6
8640,2023-12-27 00:00:00,scheduled_maintenance,Machine 0 scheduled maintenance,9
8683,2023-12-28 19:00:00,power_outage,Power outage for 1 hours,1
